,Tweets
464,@Shisir_18 @gasipo_opinions But ronaldo is considered as one of the most clutch players of all time see this argument has no balance. Footballing ability is key but for example someone like gerd muller is stricly respected because of his goal scoring just like haaland is or even mbappe (he can do both)
465,"🎙 @RothenJerome : ""Amorim, le coach du Sporting, va priver tous les fans d'un retour de Ronaldo dans son club formateur. Je trouve ça hallucinant... C'est encore un joueur international, il marque des buts, donc excusez-moi de penser qu'au Sporting il peut amener un plus."" https://t.co/thrSNqQ47S"
466,Ronaldo before the take-on stats era https://t.co/OEQoIz4gMk
467,@Amorimnismo Amorim não quer Ronaldo.
468,@Ale_RMFC @Cristiano Falta poco ⚪🤩
469,@R4NB00X @Cr7stianismo_ @Cristiano https://t.co/WMfh391358
470,"HERE WE GO for those rival fans discrediting #MUFC Sir Alex Ferguson 

Manchester United vs Arsenal 

Referee: Howard Web
Linesman : Mike dean

Fabrizio Mr Bayo Sancho Rashford Cristiano Ronaldo ASSU Mason Greenwood Antony Sergino Dest Aaron Wan-Bissaka Come to Chelsea https://t.co/OIJ1Sipcht"
471,"@danieldhne1 @Ale_RMFC @Cristiano Es cuestion de que las primeras opciones de los equipos no se de...

Entonces si. Se lo llevarían

En el caso de Chelsea la opción 1 es Aubameyang... Después a última hora pues CR7"
472,@ronaldo_mb_dhfm @MbRamesh_4005 @Prabhas_Anwar1 @dinesh_juvvala Religion mention cheyyaku le bro enduku
473,@FUT23News Yeah alittle i think Ronaldo should had 85
474,"@FootballFunnnys Lol, what a joke. It only seems this way because of inflation, but in those days they did spend a lot. Players like Henry, Ronaldo and Rooney were not Arsenal or Man Utd academy products 😭😭😂"
475,@Mutanitor @Carlito84539604 @BigFut20 @rewardmyduck now imagine how perfect Ronaldo would be https://t.co/IGqMChYoSP
476,Que venha os haters por eu dizer que não gosto nada do Cristiano Ronaldo 😘
477,@jwillow0909 @Angelo24909449 Grab a Ronaldo poster and head to the bathroom.
478,"@calix1605 De nuestra generación dije. Ronaldo es mejor que Suárez, Lewandowski no. Quitate la venda primo"
479,Good to see united investing in exciting set of players in this window. It will take some time to gel-in but I believe these boys can produce good results. Oh and we need to get Ronaldo out asap.
480,"@realvarriale Mah bufala non lo so. Che il Napoli faccia benissimo a tenere Osimhen siamo d'accordo, che Mendes abbia offerto Ronaldo a mezza Europa è un altro fatto"
481,"Sporting passa de rumores de Ronaldo, Fran Navarro, Gueye e Arthur Melo para Sotiris e Arthur Gomes... https://t.co/mbrMTp5fMr"
482,"@absthegoalie @Cristiano @ManUtd Exactly, People need to chill out, It ain't the end of the world"
483,@_mayrakaroline Kkkkkk o Ronaldo q me enviou e n tem mais
484,@BlueboyCR7 @Cristiano Sería una barbaridad de la buena 💯
485,"@HaugeFan Dovrebbe semplicemente rendersi conto di quanto è scarso e limitarsi a prendere palla e scaricarla sul compagno più vicino, almeno limiterebbe i danni. Invece no, si crede Cristiano Ronaldo prime moments"
486,"¿El Milán de verdad tiene mejores delanteros que Cristiano Ronaldo? 

Mañana es deadline 🤩☝️"
487,@Fanaticoferoze_ @ferozekhaan @Cristiano Yeah✨
488,@chiefhairyman 😂😂😂how much do you think the fees were mate? They’re not Ronaldo or Pogba! Plus the gold article said 150m PLUS Sales!
489,@futebol_info Imagina quanto o Ronaldo ou o Romário iriam valer hoje em dia…
490,@Tonivitale75 @ale_perretta @annatrieste @Cristiano Perché strano?Non c’è l’opzione “strunz” nel profilo e intanto tu staje cca’…
491,@lnstantFoot @FabrizioRomano Il tue Ronaldo
492,@LAW_QLF @Fumzerleretour @wahraniii6 @AchilleBekono @SoouullX @saile_jedusor @_Cristiano9_3 Bah ce qu’il dit c’est pas faux regarde Manchester sans Ronaldo elle enchaîne les victoires alors que sans Benzema le real et bcp moins fort juste contre le barca en tout actuellement
493,@acmilan @Acqua_Lete You need Cristiano Ronaldo.
494,@Sporting_CP Queremos é o Ronaldo!
495,"@TrafalgarLaw425 @Luci_RyanSZN @Castro1021 Lmao Ronaldo got caught up by one of the slowest CB’s in his last game, age catches up to everyone"
496,How can Messi be higher rated than Ronaldo on FIFA after last season? 18 league goals compared to 3 🤷‍♂️
497,@Ronaldo_aff O q da na cabeça da pessoa pra perguntar isso? https://t.co/j2wGTuEex2
498,Tendinosis has robbed football of this Ronaldo in the last few years... a huge shame. https://t.co/JuzwfdNLtz
499,@SDF1Rodrigo @Cristiano 👏👏
500,@shirenyyy obviously sting cuz coke ko to ronaldo na bhi pasand nahi keya
501,@redfreddevil What you think Ronaldo go or Stay
502,@shafsthoughtz he's our favourite @ferozekhaan /@Cristiano
503,@Ale_RMFC @Cristiano Jajajja está gente está perdiendo un año de vida por cada día q transcurre 🤣🤣🤣🤣🤣🤣
504,"🚨 Biggest Pace Downgrades in #FIFA23 

- Ronaldo 🇵🇹 81
- Messi 🇦🇷 81
- Bruno 🇵🇹 72
- Kante 🇫🇷 72
- Kimmich 🇩🇪 68
- Pogba 🇫🇷 67

#fifa #fifa23beta #FIFA23RATINGS #xbox"
505,"@footballdaily @MelissaReddy_ Gakpo I feel will be a starter in arsenal 
That guy is Ronaldo jr"
506,Rio Ferdinand talking about the @Carra23 handshake with Cristiano Ronaldo a few days ago. https://t.co/h65vXSjG0s
507,“he’s only a goal poacher”. I can tell you never watched football in your life. Also I won’t be surprised if Ronaldo still on top after missing out on champions league. https://t.co/0STSysf80N https://t.co/agTtaoFPMJ
508,"Sim, o #CruzeiroSempre tem prioridade. Mas observem uma coisa:

#CruzeiroSempre paga R$35,00 nos setore amarelo, com a mensalidade R$70,00. 

#TimeDoPovo paga no setor amarelo R$10,00, com a mensalidade R$33,00.

O @Ronaldo tem que estudar e reformular muito o @socio5estrelas https://t.co/KgjYyjSpBC"
509,@roadto2022es Cristiano Ronaldo
510,"@josean197768 @Kitarmaestro @MARCAvalladolid @realvalladolid Prefiero que se ahorre a que se gasten 2,5 millones por temporada  en sinverguenzas como Guardiola. Ronaldo ha hecho muchas cosas mal pero el tal Alvarado lo critica por interés, es amigo de Suarez y los bodegueros y mexicanos"
511,@zeBRUHgames @UtdPlug Only needed a striker if Ronaldo left but he’s staying so it’s g . Maybe panic bought but casemiro and antony are two of the best players in the world in their position so it’s great . I think it’s a 9/10 . We need to be realistic . You can’t sign everyone in one window.
512,"https://t.co/mSkoWGZGuE Antony First Man United Training &amp; Ronaldo, Martinez &amp; Erik Ten Hag At Carrington Before Leicester. Welcome to Manchester United Antony.
#Antony https://t.co/LbltX4cyUb"
513,"Her erkeğin bir hayali vardır Dünya Kupasında Ronaldo ve Messi karşılaşsın diye keşke öyle bir final olsa.
Keşke KEŞKE"
514,"MESSİ VE RONALDO ÇOK YAŞLANDI ANASKM ÇOK KÖTÜ OLUYORUM DÖNELİM FİFA16 YA NOLUR NOLUR AĞLCM AMK REELSLERİ FULL CR7 LM10 SAD EDİT OLAN BİRİ NASIL İYİ OLABİLİR AĞLCM YEMN EDERİM 
İKİ EFSANEYİ AYNI TAKIMDA GÖREMEDEN BIRAKACAKLAR UFFFFFF DERT TASA NEYSE BEN REBUİLD MANU KARİYER AÇİM"
515,@BarcaWorldwide David Beckham cristiano ronaldo messy are all handsome gentlemen and yet never left their wives for another women and yet this man not even closer to David Beckham managed to leave shakira
516,Ronaldo olhando para a bola depois dos cruzamentos destes dois gajos: https://t.co/xHXrxyPiGy
517,"@V4SKO_ Pareil en plus Ronaldo est un peu plus âgé que Messi, ça semble logique."
518,@USTHAAD_PK_CULT @uday462 @ronaldo_mb_dhf max caste fansey kada bro
519,@SK10Football That's Why Cristiano Ronaldo is The Greatest Player Of All Time 🐐
520,No way people actually think Pre Madrid Ronaldo was actually a more skilful player than Neymar
521,"@SK10Football @Cristiano Downfall after he achieved all in club and country football. The man his just using United to pass time for world cup   
His only waiting for World Cup, after that. I see him going back to sporting or any other league."
522,@OnnoVandewalle Supporter van Man united. Hoeveel verdient Ronaldo?
523,@TWTM__ @ronaldo_mb_dhf @PawanKalyan Mee madam lo mogga.... Sanjay Sahu anagane Mee medam ki evaru guttuku vastharo 🤭😆😆🤭
524,@Cristiano had better start on Thursday or else we riot !!
525,@Lutherking_jr7 @InsqneMagic @FUT23News P sure Messi and Ronaldo both can outpace more than 90% of players in the leagues they’re in. Fifa stats never make sense.
526,sou 3 centímetros mais alto que o @Cristiano
527,"🚨🚨🚨 Ronaldo bloque maintenant un déménagement à Naples dans l'espoir d'un appel de Chelsea avant la date limite de transfert.

{II Corriere dello Sport}"
528,"@UtdPlug More concerned that we don't have a long-term No9 in the bag. Ronaldo clearly wants to be gone. And even if he does stay, he's just not really up to playing a fast transition high press style of football. Can't really see him being very happy becoming a super sub for United!"
529,@BitchezzzNFT @Cristiano @82house_ @myogiadityanath
530,"Sabem porque não vem mais nenhum PL? O Ronaldo já está confirmado, só que ainda não houve oportunidade para o anunciar"
531,"Ronaldo Shiiiuuuu Against Arsenal
@utdfocusid @SimpatisanUtd @StretfordPaddck @Cristiano https://t.co/BiUQFuJaPv"
532,@Fumzerleretour @LAW_QLF @SoouullX @saile_jedusor @wahraniii6 @_Cristiano9_3 Suarez tire mieux les coup franc de Ronaldo le csc t’es juste con je plus discuter avec toi
533,"I've seen Trueman, Statham, Cowdrey, Graveney, Botham, Pele, Messi, Eusebio, Best, Charlton, Maradona, Ronaldo and others in play, in the flesh.
And @KentCricket 's Darren Stevens sits up there with the absolute greatest that I've seen. 
Fantastic work today Darren. https://t.co/5e6Kqr8CAT"
534,"@aliopriv @UnitedAl7 How do you criticise ronaldo man?? The fools who are watching him play with rashford, elanga and bruno think that he is finished. What a weird fanbase!! Its always the ones who have started supporting united recently, people who have watched him over the ages, respect him"
535,@bulentuslu1903 Messi ve Ronaldo'nun kariyerlerindeki en büyük eksiklik. Vodafone arena...
536,@JosueQuesada17 De chamaco recuerdo buscar cincos de todos lados para ir a Chepe a conseguir las más complicadas. Ahora que uno es un roco ya gastar tanta harina en una postal tipo Messi o Ronaldo duele pensando en que todo anda por las nubes. Pasaré de hacer este álbum.
537,@ronaldo_mb_dhf @T2BLive 🤣🤣🤣
538,Vão deixar de usar Messi e Ronaldo a torto e a direito https://t.co/OcLk9DpuqQ
539,@CuriosidadesPRL Ronaldo banco.
540,Cristiano Ronaldo To Pick Between Two Champions League Clubs As United Sanction Loan Move https://t.co/GlMPpx70vu
541,"@tiago_spartacus Andaste vários meses a espalhar com toda a serteza  que o Cristiano Ronaldo iria para o Sporting e até agora nada, era apenas fake news"
542,"La verdad sea dicha, este tipo me ha caído bien. Tiene una sonrisa a lo Ronaldo (gordito) que contagia, da buen rollo. Y encima va con el 7. https://t.co/iqu2t5gfXM"
543,"Paul Pogba on what he thinks about Cristiano Ronaldo.
I agree with him 100% https://t.co/CBAp2RO1C9"
544,@CristianoXtra_ @Cristiano you are not human ⚽️💪🔥
545,@ronaldo_mb_dhf @urstrulyMahesh Prabhas fans ekkuva chestunnaru okkasari oka look eyyi atu
546,Nessuno vuole Cristiano Ronaldo! La minaccia dell’allenatore dello Sporting Lisbona https://t.co/fImVN2UOLU
547,@vinay_PawanFan @DesiSanjuro @ronaldo_mb_dhf @arunkalyan5 Probables lo name unnandhuke mega kukkalu edchi edchi chachai. Aa Kojja dileep sannasi sunkara gadu oka munda propaganda tho vachadu. Alanti poramboku spokesperson aa 😂 Cheap..
548,@Ale_RMFC @Cristiano Napoli jajaja
549,"Dulu pas bikin berita ini sampe mikir keras maksudnya apa. Ternyata emang ga jelas nih orang 🤣

Science, war, crime ujung-ujungnya i love football. 

Lihat muka Messi sama Ronaldo kek orang goblok 🤣🤣🤣 https://t.co/b4Ej1sdUok"
550,"@Denner7s @WestHamMatters Pogba, Fernandez, Shaw, Martial, AWB, Van De Beek, Varane, Ronaldo

All dog shit.. write offs.. don't fit the system.. have to press high"
551,@nichteffzehjs3 @CrispyLemonLime @gasipo_opinions if ronaldo is a net negative for united then what is messi to psg?😂
552,"😀🗞️Netflix y Amazon Prime están en una guerra de ofertas para fichar al United para una nueva serie documental
[Daniel Cutts]
Filtración del posible póster de Amazon

La pregunta seria ¿sí @Cristiano se queda en el #MUFC porque no lo incluyen el póster publicitario? 🤔
#Ronaldo https://t.co/kNjK7Vd6lm"
553,@FabienneXIII @Andi30127841 für ronaldo siuuu
554,"🗣 Johan Cruyff in 2008 :-

“Cristiano Ronaldo is better than George Best and Denis Law, who were two brilliant and great players in the history of United.” https://t.co/fzbBPmwot0"
555,@whoistynah @ThomasKayondo @MarthaKayug And you never become Christiano Ronaldo's wife💀
556,"@RyoMaxi @ubaldomino2006 @R4NB00X @Cr7stianismo_ @Cristiano Con más presupuesto? Y el city? No entraré en ese tema, has visto cómo juega el united? Cristiano si hubiera querido se iba al city y prefirió irse al united por cariño, pero los pessizombies siguen con lo de “rechazado” con sus 6 goles en la liga de granjeros el hielo 🤣"
557,@__Sharyf @Ruf_ayi Ronaldo
558,@acefistsoffire @Ronaldo_aff Foi pesquisa é a mulher do rei dos piratas
559,"La narrazione fatta da molti organi d'informazione  della vicenda  #Ronaldo #Osimhen, rivelatasi una bufala clamorosa,come già dall'inizio era facile prevedere, va definita con un solo aggettivo : imbarazzante."
560,@Fener10line Şakasız harbidende kendini Ronaldo sanıyo bu 🤦‍♂️🤦‍♂️
561,"https://t.co/gwkdMF2Zse Antony First Man United Training &amp; Ronaldo, Martinez &amp; Erik Ten Hag At Carrington Before Leicester.

Welcome to Manchester United Antony.
#Antony https://t.co/SuuyPj36zq"
562,"@ronaldo_mb_dhf @urstrulyMahesh Yeni mins booking ayithey emi final collections tho compare chestharu ra puka 

Mee Nizam mothamu oka Hyd theatres lo ney lechindi antha ga 🤭🤭🤭"
563,J’attends l’interview @Cristiano
564,@Al3x_468 @Zecteur_F1 Carrément c’est comme comparer Messi et Ronaldo
565,@_BeFootball Luis Nazario Da Lima alias Ronaldo le Brésilien.
566,"@Fumzerleretour @AchilleBekono @LAW_QLF @SoouullX @wahraniii6 @_Cristiano9_3 Suarez tire mieux ses coup franc que Ronaldo ? Ah ouais mais là c’est vraiment n’importe quoi… Ronaldo c’est genre le 5ème ou 6eme meilleur tireur de l’histoire, va te renseigner parce que à chaque argument que tu avances on remarque de plus en plus ton incompétence sur le sujet"
567,🎙| Iker Bravo: “My idol has always been Cristiano Ronaldo.” @LaVanguardia https://t.co/QMWFnWjDID
568,Not celebrating no Fofana signing until we buy AUBAMEYANG OR ZAHA OR RONALDO #CFC
569,"@RyanBuss700 @RapidoWolfio @Danielutd82 Ronaldo 3rd
Valencia 4th 👍"
570,"Imaginem o Ronaldo ter ao lado o Rochinha e do outro lado, o Arthur https://t.co/KiEvV1PcOL"
571,Maybe we get a wing bc we signed Ronaldo https://t.co/Hwwb43vnTh
572,@Castro1021 Ronaldo should be 75 rated. Messi should be 92
573,"@DJGLCFCV2 @Preashious @DeadlineDayLive Compare Ronaldo's teammates before he left for Madrid and tell me the difference between these ones now and those ones then... Those ones worked hard to achieve success but these ones are full of themselves. He never bullied them but rather made them to understand that to win,"
574,"Will Ronaldo stay at United❓
Which midfielder can Liverpool and Arsenal sign❓
How much has been spent by the top clubs ❓

Join @nyannthierry on Wednesday evening as we dissect done deals and possible ones on @tv3_ghana

#EuroFootballDirect #3Sports https://t.co/uCyA5giHKg"
575,@Cr7stianismo_ @Cristiano Ahora dilo sin llorar....y el gol de messi llevando el balon de medio campo regatiandose a todo el madrid donde lo dejas
576,@SthembisoTwala6 There will never be another player like Ronaldo https://t.co/y4nDJIhmIZ
577,@VarunVNix All depends on Ronaldo and AWB leaving.
578,@whytesJr @Ghana_Ronaldo @UgRhodes
579,@Fumzerleretour @wahraniii6 @AchilleBekono @SoouullX @saile_jedusor @_Cristiano9_3 Donc tu vient clairement de nous dire que ta jms vu un match de Ronaldo ou Benzema
580,@Randaz1Emmanuel @Ale_RMFC @Cristiano Estoy contigo 👆🏻
581,"Les voy adelantando algo: va a dar asco, le van a decir sobrevalorado y que pagaron 100m al pedo pero cuando llegue noviembre va a ser más que el gordo Ronaldo y Dinho https://t.co/uNWNnkkrsV"
582,"Just caught someone on Sky Sports News saying ""they finished second though, the season before last"", when discussing United &amp; Ronaldo.

Guess it's time for that reminder again - behind closed doors. Training matches. Covid shite. Counts for FUCK ALL. Void #mufc"
583,"@Siona537436326 @markgoldbridge @Cristiano As with Carragher, I find it pointless to listen to opposite fans like her talk about Cristiano.

Yes, I also think she was mad because Cristiano refused to do her exclusive interview🤔."
584,"@sportbible Who?
Cristiano Ronaldo clear."
585,@utdslabbah @GRusseIl63 @Jordyplayz3 @MidniteFtbl warra USA Holiday for Ronaldo
586,@ronaldo_mb_dhf @T2BLive 😂
587,"@ElFlautista70 @DoctoraADeFecca Pareces Vinicius, Benzema, Ronaldo  el gordo y Marcelo a la vez....un tsunami.  Muy grande!!
😂😂😂"
588,@yanitedddddd @utd_roundup @RonaIdoProp You think it Cristiano Ronaldo stays at Manchester United he’ll just be benched all season and chill 😭
589,@Ale_RMFC @Cristiano Segun lo q veo ..no es el equipo q el queria ir pero saldra del united
590,@ManUtdInPidgin Ronaldo is not going anywhere...know this and know peace 🤲
591,@UnitedStandMUFC 11 obvious but when Ronaldo leaves he will take 7
592,"@TenHagEra Hope Ronaldo stays!!
#GlazersOut"
593,"@laligafrauds @aliopriv Dude compare it with Zlatan, Rooney or literally any player in the world. At the age of 37 Ronaldo's rating is still 90. Do you know how ridiculous it is?! His longevity is insane!"
594,How’s Benzema 80 pace but Ronaldo 81😭😭😭😭 https://t.co/fp0YtX6prV
595,@SK10Football @Cristiano Very heavily edited. Sad. I guess you need your clicks
596,Ronaldo vai continuar usável no #FIFA23? 🇵🇹 https://t.co/Lz9cttif2v
597,@ruben__goat @falseST_ @FutboIKJ Ronaldo better than Pessi
598,@BrentfordFC Cristiano Ronaldo owns your club.
599,"Prestito secco, prestito con diritto...

Il Manchester paga il 75%, il Manchester paga il 70% dello stipendio...

Giocherebbe centrale, no laterale...

Non me ne fotte proprio!

Portate #CR7 a #Napoli 
#SSCNapoli #CristianoRonaldo #calciomercato #Ronaldo #sscn"
600,"@AshleyE76830911 @MufccxiPrxince Messi had 93 last season, he lost 2. Ronaldo had 91, he lost just 1. On the whole, it's pretty fair."
601,@Rimpelzak__ @Mufc_AS @TheEuropeanLad @MikeVerweij What’s wrong with supporting ronaldo?
602,"Open play goals Euros/Copa + WC 
Ronaldo - 15
Messi - 11

Decisive goals Euros/Copa + WC
Ronaldo - 15 
Messi - 9

Games played 
@Cristiano - 42
Messi - 53
#Ronaldo 🐐❤️🥰💯"
603,@Fumzerleretour @AchilleBekono @LAW_QLF @SoouullX @saile_jedusor @_Cristiano9_3 Les autres joue pour Ronaldo car ils savant que sa les mènera à la victoire 😎
604,"@Ronaldo_aff Concordo.
(Achei a imagem kkk) https://t.co/fr4Ph7bxgK"
605,"Audacity to ask for equal pay 😂😂😂
Men's football generates more revenue and they're paid accordingly. Ronaldo went to Real Madrid for 90 mill and in three months they got that transfer fee from his shirt sales only. https://t.co/6estJeGR2P"
606,"@LeHautCompetent @capiii285 @V4SKO_ @ArobaseGiovanny @mackolik 2-3 ans grand max et non Ronaldo c'est pas fini, suffit que MU se réveille comme contre Liverpool et c'est obligé ils se qualifient, mais il n'ira pas à Napples, c'est encore une rumeur"
607,@Lulu_cowboys @DoA_LRon Ronaldo 😅
608,@crispogoz @FUTDIEDAA @FutSheriff Im doing it for ronaldo not messi
609,@Alexxstage07 @Ale_RMFC @Cristiano por supuesto que es normal. pero hoy se veía particularmente feliz y lleno de energía
610,@idextratime @ESPNUK Ga ronaldo ga makan
611,@Uefaworld1 Ronaldo
612,"@Francisco_Buyo @elchiringuitotv @lobo_carrasco El lobo sigue en su mundo, como siempre 🤣🤣 Ronaldo, a la pata coja, salta más que Lewandowski.😁"
613,@FabrizioRomano Any update about Ronaldo??
614,Só Ronaldo poderia salvar esta merda de mercado
615,"🎙 Jean-Michel Larqué : ""J'ai toujours admiré que Platini se retire en pleine gloire. Que Zidane s'arrête sur une finale de Coupe du monde. C'est fabuleux. Ronaldo, malheureusement, on ne retiendra pas sa fin de carrière, et heureusement pour lui. Tourne la page Cristiano..."" https://t.co/qRqLNja3Ss"
616,Ronaldo not happy at Man U 😂👍🏽 https://t.co/5Mwj1VZgMx
617,"@Ale_RMFC @Cristiano Yo no me creo lo del napoli, si va al napoli que es un club pequeño es como darle la razón a sus hater. Dirán que ellos tenían razón, y que todo el mundo lo rechazo y de ultima opción solo le quedo el modesto napoli."
618,"@Cristiano Ronaldo Best kicks are here
https://t.co/8aLiLPQ8yS"
619,🔵⚪️ Vou falar uma coisa aqui! A entrevista ontem do @papapezzolano foi uma aula de Cruzeiro e entendimento da realidade do clube. Mostra também que os departamentos dialogam o tempo todo para o melhor do clube. Mais um planejamento certo do @Ronaldo e sua equipe.
620,"@UnitedAl7 I dont who doesnt like ronaldo?? The legend had the best season for united when everything around him was bad. Clearly, united board and united fans are the worst"
621,"Cristiano Ronaldo was on a hat-trick but gave away the penalty to Karim Benzema to score.

It would be his 50th hat-trick &amp; 300th La Liga goal back then but he preferred to help a friend who has been struggling. 

👏👏👏 https://t.co/dW2MTMj89T https://t.co/22tc9qjQeG"
622,"TETESI: WACHEZAJI MAN. UTD WAFURAHIA RONALDO KUTAKA KUONDOKA

Baada ya Cristiano Ronaldo kuiambia #ManUnited anataka kuondoka inadaiwa baadhi ya Wachezaji wa Timu hiyo walifurahia

&gt; Wanaamini amekuwa mzigo zaidi kuliko msaada kwao

Soma https://t.co/fvy4o1Ll1u

#JFSports https://t.co/acKSj4auu9"
623,@johnathonpacino @gasipo_opinions @BenOTBC Very true. Ronaldo won everything even the ballondor at club level at 2008 which is earlier than messi too.
624,@ManUtdMEN That's because no fecker wants Ronaldo 😂😂
625,"@absthegoalie @Cristiano @ManUtd There's no such thing like ""prime"" for @Cristiano nd #messi
These two are 🐐s
Ronaldo is aging like fine wine
Put this exact team and ten hag last year and he would ve won u something"
626,@FIFA_NoContext How is Ronaldo still 90 rated? 88 or 87 imo would be better.
627,@JooVito74711475 @bianquinha182 @Cristiano Caprichou demais
628,@Jebaacz o co chodzi z tą grą wedlug nich oboje nie potrafia biegac i ronaldo podawac nie umie Xd
629,@Fumzerleretour @wahraniii6 @AchilleBekono @LAW_QLF @SoouullX @_Cristiano9_3 Justement c’est un « pur 9 » il a des qualités de playmaking largement inférieur à Ronaldo
630,@adkamoh @PAliouneKane @ActuFoot_ @FCBayern Pourquoi tu casse les couilles? Quand ronaldo a enlevé la bouteille de coca avant l’itw en CDE t’as ralé aussi psk il voulait pas promouvoir un truc aux antipodes de ses valeurs? Ou c’est juste parce qu’il est musulman que ca tfais chier?
631,@Wings1FreedoM @_Stephy_____ @TrollFootball point is he has more bicycle kicks than ronaldo has goals this season mate🤡
632,"@wahraniii6 @AchilleBekono @LAW_QLF @SoouullX @saile_jedusor @_Cristiano9_3 Plus facile de porter une équipe quand tout le monde joue pour lui, Benzema joue pour les autres, par ronaldo"
633,@pawalol3 @ReddyPata @uday462 @ronaldo_mb_dhf 🤣🤣sVP release day roju ayina fulls kante ekkuve ra kidney lu ammukune kukka mabbu
634,@Mario___RM Ni en los sueños más húmedos de Ronaldo pasará
635,@ultimategoat822 @Ale_RMFC @Cristiano una persona no puede ser feliz? 👍🏻
636,"@FabrizioRomano If Chelsea wants to sign him now, they’ll decide he’s prime Ronaldo and price tag him 80mil"
637,@HarveyYNWA @MufccxiPrxince Ronaldo still had more g/a itl
638,"🛑Ronaldo is now stalling a move to Napoli in hope of a call from #ChelseaFC before transfer deadline.

[via @CorSport]"
639,@chelsbrasil cristiano ronaldo
640,Ronaldo: Gostaria de ter sido treinado pelo Felipão https://t.co/k4eNFWdh15
641,#rmclive l'entraîneur du Sporting n'a aucune envie de gérer un ego comme Ronaldo et le bordel dans le vestiaire.
642,@TheFrancis_co O pai Ronaldo já vem
643,"Messi, Cristiano Ronaldo, quiénes son esos ?
El auténtico deporte murió allá por el 1848 con la lucha Grecorromana. Crecí viendo a gladiadores enfrentarse a duelos a muerte mientras la sangre de ambos salpicaban al gentío a cada golpe de espada."
644,@highlienz @Cristiano @82house_ @82house_
645,"@Fernanchh Sasa izo hope on a 37 year old ( Ronaldo ) tuliekea an 18year old playing with other unexperienced 18 yr olds😂😂😂sasa u can imagine,u get what im saying😂"
646,"Les fans de Ronaldo sont vraiment pas bien là, mercato bientôt fermé, remplaçant à United 
Aucun gros club le veut ils tremblent ☺️🤌🏼 https://t.co/ymD8Uw3zkt"
647,"@mario_dorpa @realvalladolid @Ronaldo Mario no te gastes. No te hagas mala sangre. Mientras haya Aficción de cine y teatro en el campo,nada cambiará."
648,"@thedefiedge Thierry Henry, ronaldo(phenomeno), ronaldinho, messi, zidane"
649,cómo que ronaldo en vez de messi pedazo de traidor a la patria me voy a cambiar el user a @ latifista https://t.co/I7PgaaN4XS
650,@Ale_RMFC @Cristiano Estoy desesperado ya quiero ver al mejor de la historia marcar de nuevo
651,Czy Ronaldo ma szansę na transfer? Fabrizio Romano odpowiada https://t.co/gMBCI0WY02 #transfery #goalpl #transferypilkarskie
652,@MessinhoLeRoi @Kawamatsu95 Cette année il était nul l'année passée aussi l'année d'avant aussi à croire ronaldo peux gérer une équipe de merde
653,@Roar__45 @ReddyPata @uday462 @ronaldo_mb_dhf Enni fu ll ainayi ra bjp kukka pawala 🤣🤣
654,Wizkid is like Messi as Olamide is like Ronaldo
655,FIFA 23 leaks suggest even EA thinks Cristiano Ronaldo has fallen off - https://t.co/Vs5R2g0oQe https://t.co/FdtzKRorHY
656,@whytesJr @Ghana_Ronaldo @belynedudu
657,@Ale_RMFC @Cristiano ¿Por qué Cristiano se ve extremadamente feliz hoy?
658,"20 maiores desempenhos de brasileiros em Copas

Pelé
Garrincha
Ronaldo
Romário
Leônidas
Didi
Zizinho
Jairzinho
Ademir
Gerson
Careca
Sócrates
Falcão
Tostão
Rivelino
Bebeto
Zico
Vavá
Nilton Santos
Bauer"
659,@DasQuebradasDQ @ikisoficial @Ronaldo Chama o @DasQuebradasDQ @Ronaldo para aquela live e junto com nós no @Mineirao
660,@powermania11 @ronaldo_mb_dhf Na modda am kadu MLA avamanu
661,"I would do a lot of changes to the Thursday game seeing as we got Arsenal 3 days later. Id put Donny, Ronaldo on definitely."
662,"Do povo nasceu e sempre nos braços do povo deve estar! 
Atitude digna e correta. 
Parabéns a todos por voltar atrás. 👏🏼👏🏼 
@Cruzeiro @Ronaldo @ViniciusLord https://t.co/ix5IVV1uJq"
663,Manchester United dressing room celebrated Cristiano Ronaldo exit plea https://t.co/rdaHtfm4Ig
664,Manchester United dressing room celebrated Cristiano Ronaldo exit plea https://t.co/QTTfHk7PJO
665,"@Ale_RMFC @Cristiano Quedan un día y medio , siempre pones el mismo comentario , no digo que no sea verdad pero crees que es cuestión todo de ultimo momento?"
666,Fenomen Ronaldo Fenerbahçe'ye geliyormuş. Zico istememiş. https://t.co/Gwl8Rpa2xZ
667,"Fellow OBIdients, what’s our plans to welcome our incoming president at the airport when he is back in the country? It should loud please. 

Peter Obi | Esther | Tinubu | Christianity Ronaldo | Malik | unfair | Dipo | Iranian | Shekarau | Jesus | Wike | federal government https://t.co/UTTdVgH0AD"
668,@OgunnubiD @Mr_Ahmed_Bey @ManUtd Ronaldo
669,@Cristiano come out 😂😂😂 https://t.co/8Pk9Jih6tk
670,@demarkegaming Ronaldo max 85 olmalı oda hani biraz bitirici diye
671,Deadline day signing Ronaldo to Chelsea
672,Je rentre du taf j’ai eu le malheur de mettre RMC dans la voiture t’as Larqué qui exhorte Cristiano Ronaldo de prendre sa retraite 😭😭 Jean-Mimi voyons
673,"@_CT1967 I'd rather he was marking osimhen than fkn ronaldo, osimhens pace would murder the huns backline"
